-498.64,0.11029,1.0401,0.083838,0.82307
73.425,0.087075,1.6834,0.22361,0.3694
-47.312,0.15093,4.2241,0.72177,0.36861
163.91,0.04644,1.678,0.2933,0.42955
10.94,0.24961,6.052,0.72147,0.49435
-3.1963,0.26122,21.637,-1.9994,0.56469
10.014,0.4644,20.769,0.26976,0.36908
-3.1942,0.29605,23.088,-1.766,0.55624
-70.719,0.11029,2.0611,0.57999,0.44054
274.12,0.040635,2.0358,0.39427,0.48397
62.159,0.08127,2.1686,0.35556,0.3715
310.52,0.09288,2.0876,0.78094,0.78543
35.221,0.13932,5.4056,0.36866,0.36938
-80.547,0.087075,3.3992,0.74457,0.36804
-72.159,0.09288,7.234,0.64353,0.38371
140.49,0.063855,4.8697,0.28993,0.40204
-17.207,0.238,2.6895,0.72803,0.36976
69.319,0.087075,2.533,0.26036,0.3724
60.99,0.10449,2.2053,0.24233,0.36883
-44.278,0.28444,3.8779,0.36062,0.74458
54.105,0.13351,2.8473,0.45357,0.44609
-2266.4,0.30186,12.246,7.5754e-05,0.99711
63.455,0.1219,3.0344,0.49369,0.4836
-18.565,0.2322,2.4299,0.65619,0.36905
7.1966,0.3541,58.788,0.46112,0.3823
-6.1425,0.20898,4.755,0.5784,0.39237
131.34,0.087075,2.9363,0.43807,0.49287
-620.21,0.12771,7.3862,0.062665,0.86151
-540.22,0.33669,2.5875,0.023248,0.95104
64.258,0.087075,2.2853,0.41203,0.41091
-10.664,0.67338,3.212,0.49134,0.55505
-27.157,0.37732,3.8773,0.45367,0.7129
675.34,0.075465,2.8123,0.83161,0.86153
-157.89,0.17415,2.9627,0.19591,0.83017
78.677,0.09288,2.8192,0.47995,0.45096
78.635,0.087075,1.992,0.25958,0.37287
160.56,0.05805,2.1985,0.38937,0.46618
-117.67,0.098685,2.3208,0.42621,0.5409
-37.756,0.33088,2.9274,0.28522,0.6181
176.82,0.087075,3.0039,0.55077,0.60778
-13.132,0.4702,3.5397,0.31783,0.51342
117.86,0.10449,2.9479,0.49188,0.5661
104.79,0.063855,1.4837,0.1791,0.36951
-13.797,0.29025,3.6326,0.19339,0.46291
86.157,0.098685,2.7129,0.55167,0.49247
-223.79,0.28444,2.7971,0.083427,0.83879
82.18,0.08127,2.6037,0.25665,0.37031
86.413,0.098685,1.9239,0.44088,0.48663
7.8814,0.17415,11.9,-0.12397,0.53916
-13.924,0.56308,3.1358,0.37043,0.58169
71.715,0.13351,3.592,0.51053,0.62985
-4.6665,0.47601,4.5864,0.30071,0.3745
34.605,0.15093,5.0735,0.2736,0.37075
115.89,0.075465,4.638,0.30031,0.4088
-18.631,0.31927,2.6214,0.57997,0.42152
79.777,0.09288,2.3,0.29452,0.40711
59.71,0.09288,2.2133,0.3179,0.37005
-10.654,0.31347,3.4026,0.48436,0.36997
46.15,0.1219,2.9157,0.41439,0.40549
-10.096,0.48762,3.0604,0.51432,0.42745
64.96,0.1219,2.8589,0.43508,0.51016
90.881,0.075465,1.9236,0.24561,0.36892
-4.6042,0.3541,5.8787,0.64033,0.37726
-35.284,0.30186,3.1332,0.23931,0.58845
103.92,0.09288,2.8896,0.41336,0.46612
-29.499,0.37732,2.9387,0.30281,0.63887
93.155,0.09288,2.9533,0.41443,0.50927
-29.661,0.26122,3.0742,0.53491,0.5672
-172.34,0.238,2.9273,0.1298,0.81278
156.69,0.09288,3.3417,0.548,0.6752
-67.595,0.3541,2.8731,0.20311,0.77738
64.411,0.098685,2.4947,0.36462,0.40305
-31.005,0.098685,2.5288,0.66995,0.3701
99.55,0.08127,1.9022,0.36508,0.53271
-4.1913,0.51664,4.7578,0.60742,0.39598
-14.598,0.33669,3.3265,0.64245,0.36965
-25.997,0.20317,2.8722,0.38752,0.49719
86.873,0.10449,3.2467,0.4789,0.56097
-72.353,0.11029,2.2904,0.55579,0.43501
-14.506,0.2322,3.8196,0.41573,0.38409
134.14,0.09288,3.1349,0.48499,0.57977
-208.4,0.17995,2.929,0.13257,0.84732
-13.846,0.27864,3.4817,0.25777,0.44456
88.643,0.10449,2.5849,0.47773,0.51976
-14.256,0.31347,3.6763,0.34873,0.44265
63.662,0.10449,2.8042,0.3706,0.41401
-267.59,0.13932,2.3685,0.12033,0.8448
